age,sex,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
22, Male, Never Married, Black, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.397940009,81.28325328
59, Male, Married, White, Advanced Degree, Middle Atlantic, Information, <=Good, Yes,5.301029996,200.5432623
28, Male, Never Married, Asian, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5,148.4131591
61, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.602059991,99.6894637
34, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.716003344,111.7208494
43, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,5.029383778,152.838801
54, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, No,4.763427994,117.1468169
69, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.353339095,77.7376033
41, Male, Married, White, Some College, Middle Atlantic, Industrial, <=Good, Yes,4.477121255,87.98103279
48, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.832508913,125.5254984
49, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.814913181,123.336104
42, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,5.064457989,158.2946214
37, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5.301029996,200.5432623
55, Male, Married, Asian, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.602059991,99.6894637
21, Male, Never Married, Black, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.255272505,70.47601965
58, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.544068044,94.07271475
31, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.397940009,81.28325328
25, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.397940009,81.28325328
32, Male, Never Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.612783857,100.7642728
40, Male, Never Married, Black, < HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.544068044,94.07271475
44, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, No,4.602059991,99.6894637
60, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,5.591980114,268.266292
23, Male, Never Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.397940009,81.28325328
63, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, No,4.73239376,113.5670896
44, Male, Never Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, No,4.477121255,87.98103279
47, Male, Married, Asian, Advanced Degree, Middle Atlantic, Information, <=Good, Yes,4.857332496,128.6804882
61, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.670245853,106.7239776
55, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, No,4.190331698,66.04469423
24, Male, Never Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, No,3.942008053,51.52195631
42, Male, Widowed, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.447158031,85.38394038
25, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.342422681,76.89360252
34, Male, Divorced, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.505149978,90.48191336
53, Male, Married, White, < HS Grad, Middle Atlantic, Information, >=Very Good, No,4.220631019,68.07642829
53, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.875061263,130.9821774
70, Male, Married, Asian, Advanced Degree, Middle Atlantic, Information, <=Good, No,4.851258349,127.901233
47, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.876910311,131.2245938
46, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.602059991,99.6894637
33, Male, Divorced, White, < HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.342422681,76.89360252
34, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.681241237,107.9039239
22, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, No,4.397940009,81.28325328
74, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.602059991,99.6894637
40, Male, Married, Black, Some College, Middle Atlantic, Information, <=Good, Yes,4.591064607,98.59934386
45, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5.301029996,200.5432623
43, Male, Married, Asian, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5.053078443,156.5035109
33, Male, Married, Asian, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.976349979,144.944365
62, Male, Married, Black, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.77815125,118.8843593
37, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.799340549,121.4303138
54, Male, Married, White, HS Grad, Middle Atlantic, Information, <=Good, Yes,4.716003344,111.7208494
34, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, No,4.230448921,68.74808773
50, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.740362689,114.4757133
46, Male, Divorced, White, Some College, Middle Atlantic, Industrial, <=Good, Yes,4.556302501,95.23071257
41, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.477121255,87.98103279
63, Male, Divorced, Black, Some College, Middle Atlantic, Industrial, <=Good, Yes,4.163161375,64.27439722
38, Male, Married, White, Some College, Middle Atlantic, Industrial, <=Good, Yes,4.857332496,128.6804882
35, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.740362689,114.4757133
29, Male, Married, White, College Grad, Middle Atlantic, Information, <=Good, Yes,4.72427587,112.6488963
66, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.397940009,81.28325328
37, Male, Married, White, HS Grad, Middle Atlantic, Information, <=Good, Yes,4.329357194,75.89548482
39, Male, Married, Black, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.719720651,112.136923
42, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.447158031,85.38394038
51, Male, Divorced, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.544068044,94.07271475
55, Male, Married, Asian, Advanced Degree, Middle Atlantic, Industrial, <=Good, Yes,4.740362689,114.4757133
51, Male, Married, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, Yes,5.176091259,176.9896505
38, Male, Married, White, Advanced Degree, Middle Atlantic, Industrial, <=Good, Yes,5.623217234,276.7784133
49, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.62324929,101.8243521
42, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, No,4.51851394,91.69922611
43, Male, Separated, White, < HS Grad, Middle Atlantic, Information, <=Good, No,4.462397998,86.69515483
38, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5.093421685,162.9464607
59, Male, Married, Asian, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.936010796,139.2137881
57, Male, Married, White, Some College, Middle Atlantic, Industrial, <=Good, Yes,4.556302501,95.23071257
25, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, No,4.204119983,66.96164432
49, Male, Married, White, College Grad, Middle Atlantic, Industrial, <=Good, Yes,4.87667961,131.1943236
41, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.505149978,90.48191336
38, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.740362689,114.4757133
61, Male, Married, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, Yes,4.371067862,79.1280845
49, Male, Divorced, White, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.650064561,104.5917379
52, Male, Divorced, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.886490725,132.4878211
43, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.954242509,141.7751723
60, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.812913357,123.0896998
46, Male, Married, Asian, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.903089987,134.7053751
21, Male, Never Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, No,4.021189299,55.76739051
61, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.672097858,106.9218141
32, Male, Married, Black, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.77815125,118.8843593
58, Male, Married, White, HS Grad, Middle Atlantic, Information, <=Good, Yes,4.477121255,87.98103279
35, Male, Never Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.48784512,88.92960664
26, Male, Never Married, Black, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.397940009,81.28325328
32, Male, Never Married, Black, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.544068044,94.07271475
37, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.672097858,106.9218141
22, Male, Never Married, Asian, HS Grad, Middle Atlantic, Industrial, <=Good, No,4.079181246,59.09706408
51, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, No,4.176091259,65.11085372
44, Male, Divorced, White, Advanced Degree, Middle Atlantic, Information, <=Good, Yes,4.792391689,120.5894365
35, Male, Married, Asian, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, Yes,5.06069784,157.7005277
60, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.86332286,129.4536446
40, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5.176091259,176.9896505
35, Male, Never Married, White, < HS Grad, Middle Atlantic, Information, >=Very Good, No,4.079181246,59.09706408
35, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, No,4.544068044,94.07271475
47, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.903089987,134.7053751
43, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.397940009,81.28325328
33, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.397940009,81.28325328
60, Male, Divorced, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, Yes,5.033423755,153.4575153
38, Male, Married, Asian, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, Yes,4.919078092,136.8763676
53, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, No,4.318063335,75.04315402
55, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.86923172,130.2208324
57, Male, Married, Black, HS Grad, Middle Atlantic, Information, <=Good, No,4.653212514,104.9215065
64, Male, Married, White, College Grad, Middle Atlantic, Information, <=Good, No,3.903089987,49.55533812
43, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.819543936,123.9085676
35, Male, Married, Black, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.812913357,123.0896998
54, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, No,4.3586961,78.15516141
45, Male, Married, White, HS Grad, Middle Atlantic, Information, <=Good, Yes,4.301029996,73.77574327
58, Male, Divorced, Asian, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.929418926,138.2991269
48, Male, Married, White, College Grad, Middle Atlantic, Information, <=Good, No,4.84509804,127.1157438
46, Male, Married, Asian, < HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.230448921,68.74808773
46, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.435462121,84.39111475
55, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.447158031,85.38394038
51, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.857332496,128.6804882
49, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.255272505,70.47601965
34, Male, Never Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.342422681,76.89360252
53, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, No,5,148.4131591
40, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,5,148.4131591
50, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,5.170261715,175.9608831
37, Male, Divorced, White, < HS Grad, Middle Atlantic, Information, <=Good, Yes,4.591064607,98.59934386
39, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.977723605,145.1436012
52, Male, Married, White, College Grad, Middle Atlantic, Industrial, <=Good, Yes,4.602059991,99.6894637
50, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.949390007,141.0888744
48, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.812913357,123.0896998
47, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.86332286,129.4536446
27, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.716003344,111.7208494
39, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.643452676,103.9024706
44, Male, Married, Black, HS Grad, Middle Atlantic, Information, <=Good, Yes,4.77815125,118.8843593
37, Male, Married, Black, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,5.021189299,151.5914842
52, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, No,4.62324929,101.8243521
26, Male, Never Married, Asian, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.602059991,99.6894637
39, Male, Married, Asian, Advanced Degree, Middle Atlantic, Industrial, <=Good, Yes,4.602059991,99.6894637
25, Male, Married, Black, HS Grad, Middle Atlantic, Industrial, <=Good, No,4.602059991,99.6894637
31, Male, Never Married, White, College Grad, Middle Atlantic, Information, >=Very Good, No,4.544068044,94.07271475
58, Male, Married, White, Some College, Middle Atlantic, Industrial, <=Good, Yes,5.025305865,152.2168068
30, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.653212514,104.9215065
27, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.176091259,65.11085372
40, Male, Divorced, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.556302501,95.23071257
55, Male, Married, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, Yes,5.158362492,173.8794933
35, Male, Married, Asian, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.264817823,193.4110705
48, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, No,4.740362689,114.4757133
29, Male, Never Married, Asian, College Grad, Middle Atlantic, Industrial, <=Good, Yes,5.079181246,160.6424754
25, Male, Never Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.494154594,89.49247952
40, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.792391689,120.5894365
27, Male, Married, White, < HS Grad, Middle Atlantic, Information, <=Good, No,4.301029996,73.77574327
44, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.84509804,127.1157438
49, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.77815125,118.8843593
22, Male, Never Married, White, Some College, Middle Atlantic, Industrial, <=Good, No,3.544068044,34.60741773
45, Male, Married, White, Some College, Middle Atlantic, Industrial, <=Good, Yes,4.740362689,114.4757133
33, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, No,4.447158031,85.38394038
63, Male, Married, Black, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.763127627,318.3424301
49, Male, Never Married, Black, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.954242509,141.7751723
39, Male, Never Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.875061263,130.9821774
25, Male, Never Married, Other, < HS Grad, Middle Atlantic, Industrial, <=Good, No,4.301029996,73.77574327
29, Male, Never Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.875061263,130.9821774
37, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.318063335,75.04315402
35, Male, Married, White, Advanced Degree, Middle Atlantic, Information, <=Good, Yes,5.043362278,154.9902603
46, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.653212514,104.9215065
58, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.292078772,73.11830692
39, Male, Married, White, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, Yes,4.812913357,123.0896998
41, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,5.06069784,157.7005277
29, Male, Married, Black, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.397940009,81.28325328
37, Male, Married, White, College Grad, Middle Atlantic, Information, <=Good, Yes,4.67521908,107.2560621
62, Male, Married, White, HS Grad, Middle Atlantic, Information, <=Good, No,4.369215857,78.98167452
27, Male, Never Married, Black, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.301029996,73.77574327
37, Male, Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.544068044,94.07271475
56, Male, Separated, Asian, College Grad, Middle Atlantic, Information, <=Good, No,4.602059991,99.6894637
36, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,5.176091259,176.9896505
23, Male, Never Married, Other, HS Grad, Middle Atlantic, Information, >=Very Good, No,4.301029996,73.77574327
46, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.602059991,99.6894637
26, Male, Never Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, No,4.544068044,94.07271475
43, Male, Married, White, < HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.556302501,95.23071257
36, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.84509804,127.1157438
54, Male, Separated, White, Some College, Middle Atlantic, Information, <=Good, Yes,4.602059991,99.6894637
62, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.561101384,95.68881191
40, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.698970004,109.8339856
53, Male, Married, White, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.77815125,118.8843593
48, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.176091259,176.9896505
23, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, No,4.113943352,61.18752643
34, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.397940009,81.28325328
43, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, No,5.546741258,256.4006496
55, Male, Married, White, HS Grad, Middle Atlantic, Information, <=Good, Yes,4.397940009,81.28325328
59, Male, Never Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.397940009,81.28325328
60, Male, Married, White, HS Grad, Middle Atlantic, Information, >=Very Good, No,4.021189299,55.76739051
49, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.322219295,75.35567932
45, Male, Married, Asian, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.875061263,130.9821774
31, Male, Divorced, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,3.77815125,43.73511168
34, Male, Never Married, White, College Grad, Middle Atlantic, Information, <=Good, Yes,4.740362689,114.4757133
26, Male, Never Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,4.740362689,114.4757133
22, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.397940009,81.28325328
40, Male, Married, White, HS Grad, Middle Atlantic, Information, <=Good, No,4.227886705,68.5721657
41, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.698970004,109.8339856
36, Male, Never Married, Black, Some College, Middle Atlantic, Industrial, >=Very Good, Yes,4.579783597,97.49329405
38, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.133538908,62.39835472
48, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, No,4.579783597,97.49329405
47, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.903089987,134.7053751
47, Male, Separated, White, < HS Grad, Middle Atlantic, Industrial, <=Good, No,4.113943352,61.18752643
35, Male, Married, White, College Grad, Middle Atlantic, Information, <=Good, No,4.77815125,118.8843593
49, Male, Married, Asian, HS Grad, Middle Atlantic, Information, >=Very Good, Yes,4.176091259,65.11085372
40, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, Yes,4.698970004,109.8339856
32, Male, Widowed, Asian, College Grad, Middle Atlantic, Industrial, >=Very Good, No,4.653212514,104.9215065
57, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.301029996,73.77574327
56, Male, Married, White, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.954242509,141.7751723
73, Male, Married, White, < HS Grad, Middle Atlantic, Industrial, <=Good, No,4.505149978,90.48191336
29, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, <=Good, Yes,4.301029996,73.77574327
49, Male, Married, Asian, Advanced Degree, Middle Atlantic, Industrial, >=Very Good, Yes,4.903089987,134.7053751
30, Male, Never Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.698970004,109.8339856
29, Male, Married, White, HS Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.51851394,91.69922611
36, Male, Married, White, Some College, Middle Atlantic, Information, >=Very Good, No,4.556302501,95.23071257
39, Male, Married, White, Advanced Degree, Middle Atlantic, Information, >=Very Good, Yes,5.053078443,156.5035109
48, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,4.653212514,104.9215065
45, Male, Married, Black, College Grad, Middle Atlantic, Industrial, >=Very Good, Yes,4.602059991,99.6894637
50, Male, Married, White, College Grad, Middle Atlantic, Industrial, <=Good, No,4,54.59815003
42, Male, Married, White, College Grad, Middle Atlantic, Information, >=Very Good, Yes,3.477121255,32.36641317
